animal_id_outcome,outcome_type
A006100,Return to Owner
A006100,Return to Owner
A006100,Return to Owner
A047759,Missing
A134067,Return to Owner
A141142,Return to Owner
A163459,Return to Owner
A165752,Return to Owner
A178569,Return to Owner
A189592,Return to Owner
A191351,Return to Owner
A197810,Transfer
A200922,Adoption
A208755,Euthanasia
A210457,Adoption
A212672,Return to Owner
A214991,Euthanasia
A215368,Return to Owner
A218622,Euthanasia
A218624,Euthanasia
A221327,Euthanasia
A221448,Return to Owner
A226069,Adoption
A228887,Return to Owner
A230482,Euthanasia
A233812,Return to Owner
A234161,Return to Owner
A236259,Return to Owner
A238870,Transfer
A243903,Return to Owner
A245945,Transfer
A245945,Return to Owner
A249087,Adoption
A251095,Euthanasia
A251214,Return to Owner
A251268,Return to Owner
A251402,Return to Owner
A253939,Return to Owner
A254503,Euthanasia
A256412,Return to Owner
A258441,Euthanasia
A260631,Rto-Adopt
A260914,Return to Owner
A261398,Return to Owner
A261770,Euthanasia
A267174,Return to Owner
A268022,Euthanasia
A271790,Euthanasia
A274546,Relocate
A276644,Transfer
A276780,Return to Owner
A279045,Return to Owner
A279920,Euthanasia
A281542,Adoption
A282897,Adoption
A282897,Relocate
A283735,Euthanasia
A284639,Return to Owner
A285685,Return to Owner
A287017,Return to Owner
A287017,Return to Owner
A287217,Return to Owner
A290917,Died
A291843,Return to Owner
A292482,Return to Owner
A293138,Rto-Adopt
A293383,Return to Owner
A293634,Return to Owner
A294132,Return to Owner
A294728,Return to Owner
A295822,Relocate
A297699,Return to Owner
A298074,Return to Owner
A298677,Euthanasia
A301824,Transfer
A302820,Adoption
A303591,Transfer
A304036,Return to Owner
A304036,Adoption
A305112,Return to Owner
A305674,Euthanasia
A306362,Return to Owner
A306965,Return to Owner
A307010,Return to Owner
A307010,Return to Owner
A307398,Euthanasia
A307592,Adoption
A308771,Return to Owner
A309706,Return to Owner
A309829,Return to Owner
A310394,Return to Owner
A310454,Return to Owner
A310938,Return to Owner
A311544,Return to Owner
A312005,Died
A317783,Return to Owner
A318500,Return to Owner
A318574,Euthanasia
A318574,Adoption
A318615,Euthanasia
A321263,Return to Owner
A321341,Adoption
A321820,Return to Owner
A322813,Return to Owner
A322813,Return to Owner
A323090,Return to Owner
A323668,Return to Owner
A325999,Euthanasia
A326898,Return to Owner
A328422,Return to Owner
A329257,Return to Owner
A329502,Relocate
A329502,Return to Owner
A329835,Return to Owner
A329871,Return to Owner
A329968,Return to Owner
A332026,Return to Owner
A332246,Return to Owner
A333659,Return to Owner
A333780,Return to Owner
A333781,Return to Owner
A334065,Euthanasia
A335182,Return to Owner
A335778,Return to Owner
A337187,Euthanasia
A337603,Return to Owner
A337686,Return to Owner
A337686,Return to Owner
A337859,Euthanasia
A338231,Adoption
A338231,Return to Owner
A338643,Relocate
A338821,Adoption
A339103,Return to Owner
A339523,Return to Owner
A339803,Adoption
A341599,Transfer
A342475,Return to Owner
A342480,Return to Owner
A342659,Adoption
A345209,Return to Owner
A345209,Return to Owner
A346010,Died
A346599,Transfer
A346599,Return to Owner
A346884,Euthanasia
A347684,Return to Owner
A347684,Return to Owner
A348272,Adoption
A348400,Relocate
A349317,Relocate
A349334,Return to Owner
A349480,Return to Owner
A349733,Return to Owner
A349990,Missing
A349996,Transfer
A350276,Adoption
A350375,Transfer
A352555,Return to Owner
A352713,Rto-Adopt
A352872,Died
A353259,Return to Owner
A354540,Adoption
A354597,Adoption
A354725,Transfer
A354753,Return to Owner
A355519,Return to Owner
A355688,Adoption
A355753,Return to Owner
A355753,Adoption
A357021,Return to Owner
A357444,Transfer
A357846,Return to Owner
A358697,Return to Owner
A358879,Euthanasia
A361391,Transfer
A362103,Return to Owner
A362383,Return to Owner
A362383,Transfer
A362707,Adoption
A362967,Return to Owner
A363653,Return to Owner
A363653,Return to Owner
A364429,Return to Owner
A365172,Transfer
A365302,Return to Owner
A367012,Euthanasia
A367438,Relocate
A367747,Missing
A368742,Return to Owner
A368930,Transfer
A370439,Return to Owner
A370507,Adoption
A370852,Return to Owner
A371000,Missing
A371102,Return to Owner
A371344,Return to Owner
A371534,Return to Owner
A373219,Died
A373687,Adoption
A375393,Return to Owner
A376322,Return to Owner
A376459,Return to Owner
A377750,Return to Owner
A378348,Relocate
A378348,Adoption
A378353,Euthanasia
A378818,Return to Owner
A378946,Adoption
A379998,Return to Owner
A380009,Return to Owner
